127.0.0.1 - - [20/Oct/2016:23:11:35 +0800] "GET / HTTP/1.1" 200 5868
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET / HTTP/1.1" 200 5868
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /img/code.gif HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /Styles/font/Vani.ttf HTTP/1.1" 200 386996
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /img/cloud1.png HTTP/1.1" 200 101927
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /img/cloud.jpg HTTP/1.1" 200 847897
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /img/chur/5.png HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /img/chur/0.png HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /img/chur/1.png HTTP/1.1" 200 3815
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /img/chur/3.png HTTP/1.1" 200 3552
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /img/chur/2.png HTTP/1.1" 200 3493
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /img/chur/4.png HTTP/1.1" 200 3330
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /registerAction.action HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:53 +0800] "GET /Styles/font/fzqt.ttf HTTP/1.1" 200 6570960
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:56 +0800] "GET /css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:56 +0800] "GET /css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:56 +0800] "GET /css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:56 +0800] "GET /css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:11:56 +0800] "GET /css/images/ui-icons_ffffff_256x240.png HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:12:00 +0800] "POST /jsonDataAction.action HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:12:10 +0800] "GET /css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:12:10 +0800] "GET /css/images/ui-bg_diagonals-thick_18_b81900_40x40.png HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:12:10 +0800] "GET /css/images/ui-bg_highlight-soft_75_ffe45c_1x100.png HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:12:13 +0800] "POST /jsonDataAction.action HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [20/Oct/2016:23:12:19 +0800] "POST /saveRegisterAction.action HTTP/1.1" 500 29397
